Censo,Localidad nivel 1,Localidad nivel 2,Localidad nivel 3,Localidad nivel 4,Especie,Cantidad,Observaciones
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Conde,Egretta garzetta,2,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Santa Olalla,Phoenicopterus roseus,70,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Santa Olalla,Calidris pugnax,1,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Santa Olalla,Phalacrocorax carbo,2,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Santa Olalla,Larus michahellis,1,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Dulce,Anas crecca,10,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Dulce,Anas platyrhynchos,6,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Dulce,Bubulcus ibis,2,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Dulce,Fulica atra,50,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Dulce,Fulica cristata,1,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Dulce,Himantopus himantopus,2,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Dulce,Limosa limosa,40,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Dulce,Phoenicopterus roseus,11,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Zahíllo,Charadrius hiaticula,4,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Zahíllo,Actitis hypoleucos,1,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Zahíllo,Gallinago gallinago,10,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Dulce,Vanellus vanellus,6,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Dulce,Tachybaptus ruficollis,4,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Dulce,Spatula clypeata,25,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Santa Olalla,Himantopus himantopus,2,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Santa Olalla,Gallinago gallinago,10,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Santa Olalla,Fulica atra,30,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Santa Olalla,Circus aeruginosus,2,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Santa Olalla,Charadrius hiaticula,6,
CT_200502,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Santa Olalla,Charadrius alexandrinus,4,
