Censo,Localidad nivel 1,Localidad nivel 2,Localidad nivel 3,Localidad nivel 4,Especie,Cantidad,Observaciones
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,El Conde,Ardea purpurea,3,
CT_200502,Parque Nacional De Doñana,Los Mimbrales,Los Mimbrales,Guayules (norte),Anas platyrhynchos,6,
CT_200502,Parque Nacional De Doñana,Los Mimbrales,Los Mimbrales,Guayules (norte),Ciconia ciconia,10,
CT_200502,Parque Nacional De Doñana,Los Mimbrales,Los Mimbrales,Finca Los Mimbrales,Ciconia ciconia,4,
CT_200502,Parque Nacional De Doñana,Los Mimbrales,Los Mimbrales,Mimbrales (Sur),Anas platyrhynchos,6,
CT_200502,Parque Nacional De Doñana,Los Mimbrales,Los Mimbrales,Mimbrales (Sur),Limosa limosa,1,
CT_200502,Parque Nacional De Doñana,Los Mimbrales,Los Mimbrales,Mimbrales (Sur),Ciconia ciconia,2,
CT_200502,Parque Nacional De Doñana,Los Mimbrales,Los Mimbrales,Mimbrales (Sur),Plegadis falcinellus,8,
CT_200502,Parque Nacional De Doñana,Los Mimbrales,Los Mimbrales,Mimbrales (Sur),Anas crecca,2,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Tijeras,Ardea cinerea,3,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Spatula clypeata,130,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Anas crecca,110,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Anas platyrhynchos,220,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Ardea cinerea,20,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Circus aeruginosus,7,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Fulica atra,25,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Gallinago gallinago,2,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Larus fuscus,8,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Limosa limosa,50,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Phalacrocorax carbo,11,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Phoenicopterus roseus,26,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Platalea leucorodia,2,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Plegadis falcinellus,2,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela,Porphyrio porphyrio,117,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Tijeras,Bubulcus ibis,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Tijeras,Ciconia nigra,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Tijeras,Circus aeruginosus,2,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Tijeras,Porphyrio porphyrio,13,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Tijeras,Vanellus vanellus,1,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Río Guadaira,Anas platyrhynchos,66,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Río Guadaira,Fulica atra,17,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Río Guadaira,Gallinago gallinago,4,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Río Guadaira,Gallinula chloropus,100,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Río Guadaira,Larus fuscus,60,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Río Guadaira,Phalacrocorax carbo,1,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Río Guadaira,Phoenicopterus roseus,50,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Río Guadaira,Porphyrio porphyrio,10,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Río Guadaira,Recurvirostra avosetta,75,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Río Guadaira,Vanellus vanellus,15,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Olivillos,Spatula clypeata,75,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Olivillos,Mareca penelope,5,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Olivillos,Anas platyrhynchos,230,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Olivillos,Ardea cinerea,3,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Olivillos,Circus aeruginosus,1,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Olivillos,Fulica atra,10,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Olivillos,Chroicocephalus ridibundus,130,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Olivillos,Nycticorax nycticorax,1,
CT_200502,Margen Izquierda del Guadalquivir,Olivillos-Guadaíra,Olivillos-Guadaíra,Olivillos,Porphyrio porphyrio,3,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,La Mejorada,Anas platyrhynchos,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,La Mejorada,Ardea cinerea,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,La Mejorada,Bubulcus ibis,1,
CT_200502,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,La Mejorada,Circus aeruginosus,5,
