Censo,Localidad nivel 1,Localidad nivel 2,Localidad nivel 3,Localidad nivel 4,Especie,Cantidad,Observaciones
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,Larus michahellis,13,
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,Chroicocephalus ridibundus,603,
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,Chroicocephalus genei,220,
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,Tringa totanus,43,
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,Calidris alpina,2,
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,Calidris alba,46,
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,Charadrius alexandrinus,1,
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,Pluvialis squatarola,1,
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,Recurvirostra avosetta,95,
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,Himantopus himantopus,85,
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,Phoenicopterus roseus,850,
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,Podiceps nigricollis,110,
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,La Dehesilla,Tadorna tadorna,30,
CT_202502,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,Laguna de Tarelo,Plegadis falcinellus,20,
CT_202502,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Codo de la Esparraguera,Gallinula chloropus,1,
CT_202502,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Lagunas de Bonanza,Anas platyrhynchos,9,
CT_202502,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Lagunas de Bonanza,Aythya ferina,5,
CT_202502,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Lagunas de Bonanza,Marmaronetta angustirostris,1,
CT_202502,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Codo de la Esparraguera,Circus aeruginosus,2,
CT_202502,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Codo de la Esparraguera,Pandion haliaetus,1,
CT_202502,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Codo de la Esparraguera,Actitis hypoleucos,2,
