Fecha,Especie,Individuos,Localidad nivel 1,Localidad nivel 2,Localidad nivel 3,Ambiente,Código de censo,Mes,Año,¿Censo válido?
2025-01-15,Anser anser,1830,Parque Nacional De Doñana,Marisma De Hinojos,Marisma De Hinojos,Marisma,CA_20250115,1,2025,True
2025-01-15,Anser anser,209,Parque Nacional De Doñana,Marisma de Los Sotos,Marisma de Los Sotos,Marisma,CA_20250115,1,2025,True
2025-01-15,Anser anser,4,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,Marismas Del Rocío,Marisma,CA_20250115,1,2025,True
2025-01-15,Anser anser,30,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,La Rocina,Otros,CA_20250115,1,2025,True
2025-01-15,Anser anser,425,Parque Nacional De Doñana,Marisma De Hinojos,De Matasgordas A Resolimán,Marisma,CA_20250115,1,2025,True
2025-01-15,Anser anser,20,Parque Nacional De Doñana,Lucio De La FAO,Lucio De La FAO,Otros,CA_20250115,1,2025,True
2025-01-15,Anser anser,15,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Travieso,Marisma,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,1175,Salinas De Bonanza,Salinas De Bonanza,Salinas Hidalgo,Salinas,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,930,Salinas De Bonanza,Salinas De Bonanza,Salinas Portugueses,Salinas,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,145,Parque Nacional De Doñana,Marismillas,Lucios De Veta Lengua Y Aguas Rubias,Marisma,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,200,Parque Nacional De Doñana,El Puntal,Lucios Del Caballero y El Puntal,Marisma,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,40,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Otros,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,50,Parque Nacional De Doñana,Marisma de Los Sotos,Marisma de Los Sotos,Marisma,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,1275,Parque Natural Norte,Hato Blanco,Balsa Pozo de la Cierva,---------,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,84,Parque Natural Norte,Guadiamar Encauzado,Caño Guadiamar PNAT,Marisma,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,15,Parque Natural Norte,Hato Blanco,Balsas Hato Ratón Nuevo,---------,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,300,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Arrozales De Puebla E Isla Mayor,Arrozal,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,10,Veta La Palma,Veta La Palma,Balsa De Tarfia,Otros,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,450,Veta La Palma,Veta La Palma,Lucio Del Bocón,Acuicultura,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,1900,Veta La Palma,Veta La Palma,Cuquero Grande,Acuicultura,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,200,Veta La Palma,Veta La Palma,Almajar Perimetral,Otros,CA_20250115,1,2025,True
2025-01-15,Tadorna tadorna,10,Veta La Palma,Veta La Palma,Balsas AB,Acuicultura,CA_20250115,1,2025,True
2025-01-15,Spatula clypeata,75,Salinas De Bonanza,Salinas De Bonanza,Salinas Portugueses,Salinas,CA_20250115,1,2025,True
2025-01-15,Spatula clypeata,250,Parque Nacional De Doñana,Marismillas,Orilla del Río,Marisma,CA_20250115,1,2025,True
2025-01-15,Spatula clypeata,300,Parque Nacional De Doñana,Marismillas,Lucios De Veta Lengua Y Aguas Rubias,Marisma,CA_20250115,1,2025,True
2025-01-15,Spatula clypeata,20,Parque Nacional De Doñana,Marismillas,Lucio Del Hondón,Marisma,CA_20250115,1,2025,True
2025-01-15,Spatula clypeata,300,Parque Nacional De Doñana,Lagunas RBD,Lagunas RBD,Otros,CA_20250115,1,2025,True
2025-01-15,Spatula clypeata,2300,Parque Nacional De Doñana,Marisma De Hinojos,Marisma De Hinojos,Marisma,CA_20250115,1,2025,True
2025-01-15,Spatula clypeata,6200,Parque Nacional De Doñana,Marisma de Los Sotos,Marisma de Los Sotos,Marisma,CA_20250115,1,2025,True
2025-01-15,Spatula clypeata,850,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,Marismas Del Rocío,Marisma,CA_20250115,1,2025,True
2025-01-15,Spatula clypeata,2,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,La Rocina,Otros,CA_20250115,1,2025,True
